"","cat_rat","ccpr_rat","polrt","cvrt","hrai","hrsd","country","year","idcode","PIRI","Dis","Kill","Pris","Tort","Polity2","Civilwar2","War","gdppc","pop","Media_ai_rn","Media_ai_br","Media_ai_tot","Media_ec","Media_nw","Media_tot","Media_ave","INGO_uia","UNShame","intensity","yearLag1","PIRILag1","PIRILag2","PIRILead1","polrtLag1","polrtLag2","polrtLead1","democratic","Media_ai_tot_ph","logAI","AIShame","log_gdppc","log_pop"
"9",0,0,1,1,1,1,"USA",1983,2,0,0,0,0,0,10,0,0,23038.859375,2.34e+08,0,5,5,0,2,2,1,1528,0,2,1982,0,0,0,1,1,1,1,5,1.59259716332411,0,10.0449376072909,19.270831673322
"10",0,0,1,1,1,1,"USA",1984,2,0,0,0,0,0,10,0,0,24484.259765625,2.36e+08,0,1,1,0,3,3,1.5,1593,0,2,1983,0,0,1,1,1,1,1,1,-0.0168407491099946,0,10.105785731522,19.2793423629899
"11",0,0,1,1,1,1,"USA",1985,2,1,0,0,0,1,10,0,0,25264.369140625,2.38e+08,1,2,3,2,4,6,3,1593,0,2,1984,0,0,1,1,1,1,1,3,1.08177153955812,1,10.137150347718,19.2877812316357
"12",0,0,1,1,1,1,"USA",1986,2,1,0,0,0,1,10,0,0,25890.650390625,2.4e+08,0,6,6,2,5,7,3.5,804,1,3,1985,1,0,0,1,1,1,1,6,1.77491872011806,0,10.1616371937365,19.2961494813063
"13",0,0,1,1,2,2,"USA",1987,2,0,0,0,0,0,10,0,0,26518.330078125,2.42e+08,2,17,19,1,4,5,2.5,1579,0,2,1986,1,1,1,1,1,1,1,19,2.92759823005645,1,10.1855914739207,19.304448284121
"14",0,0,1,1,1,1,"USA",1988,2,1,0,0,0,1,10,0,0,27362.0703125,2.44e+08,0,15,15,0,1,1,0.5,1832,0,2,1987,0,1,1,1,1,1,1,15,2.69120945199222,0,10.2169130381902,19.3126787832575
"15",0,0,1,1,1,1,"USA",1989,2,1,0,0,0,1,10,0,0,28062.259765625,2.47e+08,1,28,29,1,2,3,1.5,1933,0,2,1988,1,0,0,1,1,1,1,29,3.35045508087648,1,10.2421808837575,19.3248988945923
"16",0,0,1,1,1,1,"USA",1990,2,0,0,0,0,0,10,0,0,28262.619140625,2.5e+08,0,17,17,2,3,5,2.5,2008,0,2,1989,1,1,1,1,1,1,1,17,2.81637259494622,0,10.2492953320793,19.3369714758265
"17",0,0,1,1,2,2,"USA",1991,2,1,0,0,0,1,10,0,0,27833.3203125,2.53e+08,3,22,25,3,1,4,2,2051,0,2,1990,0,1,1,1,1,1,1,25,3.20203507575821,1,10.2339891543564,19.3489000466918
"18",0,1,1,1,2,2,"USA",1992,2,1,0,0,0,1,10,1,0,28365.69921875,2.57e+08,2,36,38,2,4,6,3,2127,0,2,1991,1,0,1,1,1,1,1,38,3.62074541061639,1,10.2529359202148,19.3645866428595
"19",0,1,1,1,1,1,"USA",1993,2,1,0,0,0,1,10,0,0,28747.419921875,2.6e+08,0,36,36,0,5,5,2.5,2226,0,2,1992,1,1,1,1,1,1,1,36,3.56667818934612,0,10.2663033003506,19.3761921889798
"20",1,1,1,1,1,1,"USA",1994,2,1,0,0,0,1,10,0,0,29550.48046875,2.63e+08,17,21,38,3,2,5,2.5,2273,1,3,1993,1,1,1,1,1,1,1,38,3.62074541061639,1,10.2938552822198,19.387664590142
"21",1,1,1,1,1,1,"USA",1995,2,1,0,0,0,1,10,0,0,29941.640625,2.66e+08,6,22,28,2,0,2,1,2327,0,2,1994,1,1,1,1,1,1,1,28,3.31536376106521,1,10.3070054535665,19.399006866746
"22",1,1,1,1,1,1,"USA",1996,2,1,0,0,0,1,10,0,0,30703.73046875,2.69e+08,6,11,17,1,2,3,1.5,2418,1,3,1995,1,1,1,1,1,1,1,17,2.81637259494622,1,10.3321394398332,19.4102219375661
"23",1,1,1,1,1,1,"USA",1997,2,1,0,0,0,1,10,0,0,31716.0390625,2.73e+08,12,11,23,3,3,6,3,2490,0,2,1996,1,1,1,1,1,1,1,23,3.11865346681916,1,10.3645777960254,19.4249823531492
"24",1,1,1,1,1,1,"USA",1998,2,1,0,0,0,1,10,0,0,32671.26953125,2.76e+08,24,31,55,5,3,8,4,2560,0,2,1997,1,1,1,1,1,1,1,55,3.99049243612248,1,10.3942513630764,19.4359114236814
"25",1,1,1,1,1,1,"USA",1999,2,1,0,0,0,1,10,0,0,33748.2109375,2.79e+08,27,45,72,2,6,8,4,2648,0,2,1998,1,1,1,1,1,1,1,72,4.25982536990606,1,10.4266826856364,19.4467223397856
"26",1,1,1,1,1,1,"USA",2000,2,1,0,0,0,1,10,0,0,34599.46875,2.82e+08,36,31,67,3,18,21,10.5,NA,0,2,1999,1,1,3,1,1,1,1,67,4.18785187028097,1,10.4515936068817,19.4574176289024
"36",0,1,1,1,1,1,"CANADA",1983,20,1,0,0,0,1,10,0,0,16464.1796875,25500000,1,0,1,0,0,0,0,1366,0,1,1982,1,0,1,1,1,1,1,1,-0.0168407491099946,1,9.70894237197807,17.0541890101287
"37",0,1,1,1,1,1,"CANADA",1984,20,1,0,0,0,1,10,0,0,17264.580078125,25700000,1,1,2,0,0,0,0,1427,0,1,1983,1,1,0,1,1,1,1,2,0.676306431449951,1,9.7564122873809,17.0620015498654
"38",0,1,1,1,1,1,"CANADA",1985,20,0,0,0,0,0,10,0,0,17922.2890625,25900000,0,0,0,0,0,0,0,1427,0,0,1984,1,1,0,1,1,1,1,0.01,-4.62201093509809,0,9.79380041623386,17.0697535266698
"39",0,1,1,1,1,1,"CANADA",1986,20,0,0,0,0,0,10,0,0,18168.73046875,26200000,0,0,0,0,0,0,0,1306,0,0,1985,0,1,0,1,1,1,1,0.01,-4.62201093509809,0,9.80745728931521,17.0812699687313
"40",1,1,1,1,1,1,"CANADA",1987,20,0,0,0,0,0,10,0,0,18691.26953125,26600000,0,4,4,0,0,0,0,1527,0,1,1986,0,0,0,1,1,1,1,4,1.3694536120099,0,9.83581182383832,17.0964217737519
"41",1,1,1,1,1,1,"CANADA",1988,20,0,0,0,0,0,10,0,0,19369.55078125,26900000,0,1,1,0,0,0,0,1658,0,1,1987,0,0,0,1,1,1,1,1,-0.0168407491099946,0,9.87145756466335,17.1076368445721
"42",1,1,1,1,1,1,"CANADA",1989,20,0,0,0,0,0,10,0,0,19504.890625,27400000,0,0,0,0,0,0,0,1746,0,0,1988,0,0,0,1,1,1,1,0.01,-4.62201093509809,0,9.87842051438851,17.1260535713583
"43",1,1,1,1,1,1,"CANADA",1990,20,0,0,0,0,0,10,0,0,19249.630859375,27800000,0,4,4,1,0,1,0.5,1807,0,2,1989,0,0,0,1,1,1,1,4,1.3694536120099,0,9.8652471633957,17.1405465786609
"44",1,1,1,1,1,1,"CANADA",1991,20,0,0,0,0,0,10,0,0,18584.609375,28200000,0,1,1,0,1,1,0.5,1838,0,2,1990,0,0,1,1,1,1,1,1,-0.0168407491099946,0,9.83008906421614,17.1548325359083
"45",1,1,1,1,1,1,"CANADA",1992,20,1,0,0,0,1,10,0,0,18518.359375,28500000,0,3,3,0,0,0,0,1920,0,1,1991,0,0,0,1,1,1,1,3,1.08177153955812,0,9.82651791761307,17.1654146452389
"46",1,1,1,1,1,1,"CANADA",1993,20,0,0,0,0,0,10,0,0,18746.33984375,28800000,0,1,1,0,0,0,0,1981,0,1,1992,1,0,1,1,1,1,1,1,-0.0168407491099946,0,9.8387538040096,17.1758859451062
"47",1,1,1,1,1,1,"CANADA",1994,20,1,0,0,0,1,10,0,0,19460.130859375,29100000,0,0,0,0,0,0,0,2043,0,0,1993,0,1,0,1,1,1,1,0.01,-4.62201093509809,0,9.87612308024848,17.1862487321417
"48",1,1,1,1,1,1,"CANADA",1995,20,0,0,0,0,0,10,0,0,19836.740234375,29400000,0,1,1,0,0,0,0,2070,0,1,1994,1,0,0,1,1,1,1,1,-0.0168407491099946,0,9.89529106463682,17.1965052323089
"49",1,1,1,1,1,1,"CANADA",1996,20,0,0,0,0,0,10,0,0,19940.1796875,29700000,0,2,2,0,0,0,0,2116,0,1,1995,0,1,0,1,1,1,1,2,0.676306431449951,0,9.90049205488445,17.2066576037729
"50",1,1,1,1,1,1,"CANADA",1997,20,0,0,0,0,0,10,0,0,20568.029296875,3e+07,0,3,3,0,0,0,0,2182,0,1,1996,0,0,1,1,1,1,1,3,1.08177153955812,0,9.93149317333576,17.2167079396264
"51",1,1,1,1,1,1,"CANADA",1998,20,1,0,0,0,1,10,0,0,21222.900390625,30200000,0,2,2,1,0,1,0.5,2236,0,2,1997,0,0,0,1,1,1,1,2,0.676306431449951,0,9.96283608476117,17.2233524823451
"52",1,1,1,1,1,1,"CANADA",1999,20,0,0,0,0,0,10,0,0,22228.830078125,30500000,0,2,2,0,0,0,0,2300,0,1,1998,1,0,1,1,1,1,1,2,0.676306431449951,0,10.0091453775088,17.2332372415776
"53",1,1,1,1,1,1,"CANADA",2000,20,1,0,0,0,1,10,0,0,23198.009765625,30800000,0,1,1,0,0,0,0,NA,0,1,1999,0,1,1,1,1,1,1,1,-0.0168407491099946,0,10.0518217680101,17.2430252479438
"117",0,0,7,6,3,3,"HAITI",1983,41,3,0,1,1,1,-9,0,0,791.577087402344,5646120,0,3,3,0,1,1,0.5,211,1,3,1982,3,3,5,7,7,7,0,3,1.08177153955812,0,6.67402726864344,15.5464791415548
"118",0,0,7,6,3,3,"HAITI",1984,41,5,0,1,2,2,-9,0,0,779.399475097656,5751350,0,4,4,1,0,1,0.5,223,1,3,1983,3,3,3,7,7,7,0,4,1.3694536120099,0,6.65852371943461,15.5649451678251
"119",0,0,7,6,3,3,"HAITI",1985,41,3,0,1,1,1,-9,0,0,766.326293945312,5861000,1,9,10,0,0,0,0,223,1,2,1984,5,3,5,7,7,5,0,10,2.28574434388405,1,6.64160805024859,15.5838307954586
"120",0,0,5,4,3,2,"HAITI",1986,41,5,1,1,1,2,-8,0,0,750.813720703125,5975030,0,3,3,2,4,6,3,227,1,3,1985,3,5,8,7,7,6,0,3,1.08177153955812,0,6.62115757932311,15.6030996766897
"121",0,0,6,5,5,3,"HAITI",1987,41,8,2,2,2,2,-8,0,0,730.718322753906,6093380,1,11,12,0,1,1,0.5,240,1,3,1986,5,3,5,5,7,7,0,12,2.46806590067801,1,6.59402805410056,15.6227134939362
"122",0,0,7,5,4,3,"HAITI",1988,41,5,1,1,1,2,-7,0,0,721.856811523438,6215940,0,9,9,1,2,3,1.5,253,1,3,1987,8,5,4,6,5,7,0,9,2.18038382822622,0,6.58182679723472,15.6426275184734
"123",0,0,7,5,3,3,"HAITI",1989,41,4,0,1,1,2,-6,0,0,714.970886230469,6342570,0,4,4,0,0,0,0,266,1,2,1988,5,8,6,7,6,4,0,4,1.3694536120099,0,6.5722418233062,15.6627946070521
"124",0,0,4,4,4,4,"HAITI",1990,41,6,0,2,2,2,7,0,0,699.881591796875,6473000,0,3,3,1,0,1,0.5,271,1,3,1989,4,5,5,7,7,7,1,3,1.08177153955812,0,6.55091116615926,15.6831502375276
"125",0,1,7,7,4,5,"HAITI",1991,41,5,0,2,2,1,-7,0,0,716.282592773438,6593000,0,7,7,1,0,1,0.5,280,1,3,1990,6,4,8,4,7,7,0,7,1.92906939994532,0,6.5740747717384,15.7015190380954
"126",0,1,7,7,4,4,"HAITI",1992,41,8,2,2,2,2,-7,0,0,609.901916503906,6722040,2,9,11,1,0,1,0.5,274,1,3,1991,5,6,8,7,4,7,0,11,2.38105452368838,1,6.41329815162229,15.7209022378594
"127",0,1,7,7,4,4,"HAITI",1993,41,8,2,2,2,2,-7,0,0,583.035888671875,6860560,0,6,6,3,2,5,2.5,283,1,3,1992,8,5,8,7,7,5,0,6,1.77491872011806,0,6.36824874306969,15.7412996290234
"128",0,1,5,5,5,4,"HAITI",1994,41,8,2,2,2,2,7,0,0,523.390502929688,7009040,17,6,23,2,11,13,6.5,287,1,3,1993,8,8,2,7,7,5,1,23,3.11865346681916,1,6.26032784497477,15.7627113024144
"129",0,1,5,5,2,3,"HAITI",1995,41,2,0,0,0,2,7,0,0,491.563598632812,7168000,0,0,0,0,1,1,0.5,287,1,2,1994,8,8,3,5,7,4,1,0.01,-4.62201093509809,0,6.19759132823103,15.7851372336369
"130",0,1,4,5,3,3,"HAITI",1996,41,3,0,1,1,1,7,0,0,500.095001220703,7336000,1,3,4,1,0,1,0.5,295,1,3,1995,2,8,3,5,5,4,1,4,1.3694536120099,1,6.21479808281542,15.8083042929184
