,cat_rat,ccpr_rat,polrt,cvrt,hrai,hrsd,country,year,idcode,PIRI,Dis,Kill,Pris,Tort,Polity2,Civilwar2,War,gdppc,pop,Media_ai_rn,Media_ai_br,Media_ai_tot,Media_ec,Media_nw,Media_tot,Media_ave,INGO_uia,UNShame,intensity,yearLag1,PIRILag1,PIRILag2,PIRILead1,polrtLag1,polrtLag2,polrtLead1,democratic,Media_ai_tot_ph,logAI,AIShame,log_gdppc,log_pop
22,1,1,1,1,1,1,USA,1996,2,1,0,0,0,1,10,0,0,30703.73047,2.69E+08,6,11,17,1,2,3,1.5,2418,1,3,1995,1,1,1,1,1,1,1,17,2.816372595,1,10.33213944,19.41022194
23,1,1,1,1,1,1,USA,1997,2,1,0,0,0,1,10,0,0,31716.03906,2.73E+08,12,11,23,3,3,6,3,2490,0,2,1996,1,1,1,1,1,1,1,23,3.118653467,1,10.3645778,19.42498235
24,1,1,1,1,1,1,USA,1998,2,1,0,0,0,1,10,0,0,32671.26953,2.76E+08,24,31,55,5,3,8,4,2560,0,2,1997,1,1,1,1,1,1,1,55,3.990492436,1,10.39425136,19.43591142
25,1,1,1,1,1,1,USA,1999,2,1,0,0,0,1,10,0,0,33748.21094,2.79E+08,27,45,72,2,6,8,4,2648,0,2,1998,1,1,1,1,1,1,1,72,4.25982537,1,10.42668269,19.44672234
26,1,1,1,1,1,1,USA,2000,2,1,0,0,0,1,10,0,0,34599.46875,2.82E+08,36,31,67,3,18,21,10.5,NA,0,2,1999,1,1,3,1,1,1,1,67,4.18785187,1,10.45159361,19.45741763
49,1,1,1,1,1,1,CANADA,1996,20,0,0,0,0,0,10,0,0,19940.17969,29700000,0,2,2,0,0,0,0,2116,0,1,1995,0,1,0,1,1,1,1,2,0.676306431,0,9.900492055,17.2066576
50,1,1,1,1,1,1,CANADA,1997,20,0,0,0,0,0,10,0,0,20568.0293,3.00E+07,0,3,3,0,0,0,0,2182,0,1,1996,0,0,1,1,1,1,1,3,1.08177154,0,9.931493173,17.21670794
51,1,1,1,1,1,1,CANADA,1998,20,1,0,0,0,1,10,0,0,21222.90039,30200000,0,2,2,1,0,1,0.5,2236,0,2,1997,0,0,0,1,1,1,1,2,0.676306431,0,9.962836085,17.22335248
52,1,1,1,1,1,1,CANADA,1999,20,0,0,0,0,0,10,0,0,22228.83008,30500000,0,2,2,0,0,0,0,2300,0,1,1998,1,0,1,1,1,1,1,2,0.676306431,0,10.00914538,17.23323724
53,1,1,1,1,1,1,CANADA,2000,20,1,0,0,0,1,10,0,0,23198.00977,30800000,0,1,1,0,0,0,0,NA,0,1,1999,0,1,1,1,1,1,1,1,-0.016840749,0,10.05182177,17.24302525
130,0,1,4,5,3,3,HAITI,1996,41,3,0,1,1,1,7,0,0,500.0950012,7336000,1,3,4,1,0,1,0.5,295,1,3,1995,2,8,3,5,5,4,1,4,1.369453612,1,6.214798083,15.80830429
131,0,1,4,5,2,3,HAITI,1997,41,3,0,1,0,2,7,0,0,502.9034119,7492000,0,0,0,0,0,0,0,297,1,1,1996,3,2,5,4,5,5,1,0.01,-4.622010935,0,6.220398128,15.82934634
132,0,1,5,5,3,3,HAITI,1998,41,5,0,1,2,2,7,0,0,503.549408,7647000,1,1,2,0,2,2,1,301,1,3,1997,3,3,6,4,4,5,1,2,0.676306431,1,6.221681836,15.84982397
133,0,1,5,5,3,3,HAITI,1999,41,6,1,1,2,2,2,0,0,506.8063049,7803000,3,2,5,0,1,1,0.5,299,1,3,1998,5,3,3,5,4,6,0,5,1.592597163,1,6.228128889,15.87001883
134,0,1,6,5,4,3,HAITI,2000,41,3,0,0,1,2,-2,0,0,501.1115112,7959000,6,2,8,0,0,0,0,NA,1,2,1999,6,5,4,5,5,6,0,8,2.062600793,1,6.216828654,15.88981392
157,0,1,3,3,3,3,DOM-REP,1996,42,4,0,2,1,1,8,0,0,1872.51001,7818350,0,0,0,0,0,0,0,511,0,0,1995,4,6,4,4,4,3,1,0.01,-4.622010935,0,7.535035061,15.87198409
158,0,1,3,3,3,3,DOM-REP,1997,42,4,0,2,1,1,8,0,0,1992.265015,7951890,1,1,2,0,0,0,0,506,0,1,1996,4,4,6,3,4,2,1,2,0.676306431,1,7.597027469,15.88892019
159,0,1,2,3,3,3,DOM-REP,1998,42,6,0,2,2,2,8,0,0,2102.833984,8085560,0,0,0,0,0,0,0,516,0,0,1997,4,4,4,3,3,2,1,0.01,-4.622010935,0,7.65104123,15.90559031
160,0,1,2,3,3,3,DOM-REP,1999,42,4,0,2,0,2,8,0,0,2234.113037,8219280,0,0,0,0,0,0,0,512,0,0,1998,6,4,4,2,3,2,1,0.01,-4.622010935,0,7.711599577,15.92199317
