,cat_rat,ccpr_rat,polrt,cvrt,hrai,hrsd,country,year,idcode,PIRI,Dis,Kill,Pris,Tort,Polity2,Civilwar2,War,gdppc,pop,Media_ai_rn,Media_ai_br,Media_ai_tot,Media_ec,Media_nw,Media_tot,Media_ave,INGO_uia,UNShame,intensity,yearLag1,PIRILag1,PIRILag2,PIRILead1,polrtLag1,polrtLag2,polrtLead1,democratic,Media_ai_tot_ph,logAI,AIShame,log_gdppc,log_pop
9,0,0,1,1,1,1,USA,1983,2,0,0,0,0,0,10,0,0,23038.85938,2.34E+08,0,5,5,0,2,2,1,1528,0,2,1982,0,0,0,1,1,1,1,5,1.592597163,0,10.04493761,19.27083167
10,0,0,1,1,1,1,USA,1984,2,0,0,0,0,0,10,0,0,24484.25977,2.36E+08,0,1,1,0,3,3,1.5,1593,0,2,1983,0,0,1,1,1,1,1,1,-0.016840749,0,10.10578573,19.27934236
11,0,0,1,1,1,1,USA,1985,2,1,0,0,0,1,10,0,0,25264.36914,2.38E+08,1,2,3,2,4,6,3,1593,0,2,1984,0,0,1,1,1,1,1,3,1.08177154,1,10.13715035,19.28778123
12,0,0,1,1,1,1,USA,1986,2,1,0,0,0,1,10,0,0,25890.65039,2.40E+08,0,6,6,2,5,7,3.5,804,1,3,1985,1,0,0,1,1,1,1,6,1.77491872,0,10.16163719,19.29614948
13,0,0,1,1,2,2,USA,1987,2,0,0,0,0,0,10,0,0,26518.33008,2.42E+08,2,17,19,1,4,5,2.5,1579,0,2,1986,1,1,1,1,1,1,1,19,2.92759823,1,10.18559147,19.30444828
14,0,0,1,1,1,1,USA,1988,2,1,0,0,0,1,10,0,0,27362.07031,2.44E+08,0,15,15,0,1,1,0.5,1832,0,2,1987,0,1,1,1,1,1,1,15,2.691209452,0,10.21691304,19.31267878
15,0,0,1,1,1,1,USA,1989,2,1,0,0,0,1,10,0,0,28062.25977,2.47E+08,1,28,29,1,2,3,1.5,1933,0,2,1988,1,0,0,1,1,1,1,29,3.350455081,1,10.24218088,19.32489889
16,0,0,1,1,1,1,USA,1990,2,0,0,0,0,0,10,0,0,28262.61914,2.50E+08,0,17,17,2,3,5,2.5,2008,0,2,1989,1,1,1,1,1,1,1,17,2.816372595,0,10.24929533,19.33697148
17,0,0,1,1,2,2,USA,1991,2,1,0,0,0,1,10,0,0,27833.32031,2.53E+08,3,22,25,3,1,4,2,2051,0,2,1990,0,1,1,1,1,1,1,25,3.202035076,1,10.23398915,19.34890005
18,0,1,1,1,2,2,USA,1992,2,1,0,0,0,1,10,1,0,28365.69922,2.57E+08,2,36,38,2,4,6,3,2127,0,2,1991,1,0,1,1,1,1,1,38,3.620745411,1,10.25293592,19.36458664
