gpr_mean,true_y,gpr_lwr,gpr_upr,vertical,horizontal,year,country
103.883,97.2,97.72507,110.04094,-0.153551972,-1.248443271,1960,Mexico
100.54974,95.3,94.93098,106.16851,-0.160105538,-1.251882726,1961,Mexico
97.66256,93.2,92.254105,103.071014,-0.161721341,-1.241927576,1962,Mexico
95.02544,91.4,89.6794,100.371475,-0.16098704,-1.243880005,1963,Mexico
94.16739,89.6,88.73795,99.596825,-0.160746999,-1.253736477,1964,Mexico
90.505486,87.6,85.135086,95.875885,-0.159315609,-1.249196488,1965,Mexico
87.54708,85.7,82.22783,92.86633,-0.158923558,-1.247799285,1966,Mexico
85.2595,83.8,79.94169,90.57731,-0.153566269,-1.246774176,1967,Mexico
83.18027,82.0,77.81067,88.549866,-0.154387648,-1.247460727,1968,Mexico
81.3628,80.2,75.9111,86.8145,-0.153528986,-1.256496313,1969,Mexico
79.41728,78.5,74.01981,84.81475,-0.156883032,-1.245724005,1970,Mexico
76.91568,76.5,71.55583,82.27553,-0.149616978,-1.245251857,1971,Mexico
74.5605,74.7,69.28325,79.83775,-0.156694515,-1.243660141,1972,Mexico
72.377686,72.6,67.107155,77.64822,-0.153584663,-1.246110554,1973,Mexico
70.30007,70.5,64.98783,75.61231,-0.143672603,-1.240375537,1974,Mexico
67.80659,68.4,62.362766,73.250404,-0.142398126,-1.243223462,1975,Mexico
65.62502,66.1,60.245552,71.00449,-0.122775116,-1.242859054,1976,Mexico
62.917557,63.4,57.500553,68.334564,-0.12304669,-1.237713738,1977,Mexico
60.19165,61.0,54.758263,65.62504,-0.095252546,-1.232720265,1978,Mexico
57.96005,58.7,52.57543,63.344666,0.002235994,-1.240579589,1979,Mexico
55.35826,56.3,49.98902,60.7275,0.011753929,-1.237593356,1980,Mexico
52.961224,53.9,47.57145,58.350998,0.013146993,-1.252971216,1981,Mexico
50.19281,51.8,44.721256,55.664364,0.136476111,-1.047200004,1982,Mexico
48.353046,49.7,42.875107,53.830986,0.135928292,-0.945990459,1983,Mexico
46.706856,47.6,41.277462,52.13625,0.135674289,-0.950722962,1984,Mexico
44.761005,45.8,39.35307,50.16894,0.168156712,-0.946416186,1985,Mexico
42.719402,43.9,37.258698,48.180107,0.165042452,-0.950077452,1986,Mexico
42.098633,42.2,36.739902,47.457363,0.165089965,-0.946811945,1987,Mexico
40.56304,40.8,35.224308,45.901775,0.354589535,-0.815140414,1988,Mexico
39.05639,39.4,33.767353,44.345425,0.35410076,-0.632993341,1989,Mexico
37.63555,38.2,32.35113,42.91997,0.438885401,-0.613494391,1990,Mexico
36.37939,36.7,31.144781,41.614,0.539081399,-0.609516274,1991,Mexico
35.463974,35.3,30.226036,40.701912,0.537303131,-0.611381793,1992,Mexico
34.269516,33.9,28.987085,39.551945,0.572377113,-0.612848734,1993,Mexico
32.70378,32.4,27.376675,38.030888,0.632259248,-0.170878543,1994,Mexico
30.64688,31.0,25.176785,36.116974,0.637607573,-0.13012063,1995,Mexico
29.851473,29.6,24.546215,35.15673,0.808839783,-0.126063864,1996,Mexico
25.305746,28.2,19.993935,30.617558,1.112227617,0.123792971,1997,Mexico
25.757355,26.8,20.479874,31.034836,1.109149894,0.126794916,1998,Mexico
24.977497,25.4,19.682789,30.272205,1.113142059,0.122040632,1999,Mexico
23.234226,24.1,17.900974,28.567478,1.211545509,0.65754863,2000,Mexico
21.873093,22.8,16.556238,27.189947,1.208049421,0.702220096,2001,Mexico
21.293964,21.7,16.00846,26.57947,1.200679032,0.702056457,2002,Mexico
19.530132,20.5,14.249084,24.81118,1.28454987,0.735050728,2003,Mexico
17.297848,19.5,11.989606,22.60609,1.281223019,0.732276444,2004,Mexico
16.311028,18.5,10.957586,21.664469,1.284250359,0.731616286,2005,Mexico
19.526459,17.5,14.022474,25.030443,1.161065215,0.72644039,2006,Mexico
15.959233,16.2,10.003323,21.915144,1.620857674,1.856961926,1960,Sweden
15.352814,15.8,9.728937,20.97669,1.620389851,1.854037527,1961,Sweden
