date,unique_users,tweet_count,freq,freq_hate,freq_upd,freq_upd_hate,freq_rt,freq_rt_hate,norm,norm_hate,norm_upd,norm_upd_hate,norm_rt,norm_rt_hate,election,date_num,slope_change,date_num2,slope_change2
2015-06-17,75707,384457,67,1,62,1,4,0,1.742717651128735e-4,2.601071121087664e-6,8.189467288361711e-4,1.3208818207035017e-5,1.0404284484350655e-5,0,0,3,0,9,0
2015-06-18,74171,361456,186,0,169,0,7,0,5.145854543844894e-4,0,0.002278518558466247,0,1.936611925102917e-5,0,0,4,0,16,0
2015-06-19,72441,340250,126,1,99,1,8,0,3.7031594415870686e-4,2.9390154298310068e-6,0.001366629394955895,1.380433732278682e-5,2.3512123438648054e-5,0,0,5,0,25,0
2015-06-20,65711,301898,68,0,63,0,2,0,2.2524163790419281e-4,0,9.587435893533807e-4,0,6.624754056005671e-6,0,0,6,0,36,0
2015-06-21,67140,309833,76,1,70,1,1,0,2.45293432268351e-4,3.227545161425671e-6,0.0010425975573428656,1.4894250819183795e-5,3.227545161425671e-6,0,0,7,0,49,0
2015-06-22,71306,337562,132,1,102,1,0,0,3.910392757478626e-4,2.9624187556656258e-6,0.0014304546601968979,1.4024065296048018e-5,0,0,0,8,0,64,0
2015-06-23,72755,357780,85,0,73,0,4,0,2.375761641232042e-4,0,0.001003367466153529,0,1.1180054782268433e-5,0,0,9,0,81,0
2015-06-24,73150,356657,189,0,152,0,9,0,5.299209043983435e-4,0,0.002077922077922078,0,2.52343287808735e-5,0,0,10,0,100,0
2015-06-25,73588,366612,85,0,72,0,4,0,2.318527489552988e-4,0,9.78420394629559e-4,0,1.0910717597896414e-5,0,0,11,0,121,0
2015-06-26,77794,415664,124,0,85,0,4,0,2.9831787212748756e-4,0,0.001092629251613235,0,9.623157165402826e-6,0,0,12,0,144,0
2015-06-27,67997,333343,67,0,65,0,2,0,2.009941711690361e-4,0,9.55924526082033e-4,0,5.999826005045854e-6,0,0,13,0,169,0
2015-06-28,64743,318209,60,0,57,0,3,0,1.8855532055975788e-4,0,8.804040591260831e-4,0,9.427766027987895e-6,0,0,14,0,196,0
2015-06-29,71477,392641,70,1,64,1,5,0,1.782799045438454e-4,2.5468557791977914e-6,8.953929235978007e-4,1.3990514431215636e-5,1.2734278895988957e-5,0,0,15,0,225,0
2015-06-30,72885,369547,92,0,84,0,3,0,2.4895344841116286e-4,0,0.0011525005145091582,0,8.118047230798788e-6,0,0,16,0,256,0
2015-07-01,75121,385414,85,1,74,1,4,0,2.2054206645321655e-4,2.59461254650843e-6,9.850774084477043e-4,1.3311856870914924e-5,1.037845018603372e-5,0,0,17,0,289,0
2015-07-02,73176,363686,52,0,46,0,4,0,1.429804831640481e-4,0,6.286214059254401e-4,0,1.0998498704926778e-5,0,0,18,0,324,0
2015-07-03,69295,339979,95,0,61,0,2,0,2.794290235573374e-4,0,8.802943935348871e-4,0,5.882716285417629e-6,0,0,19,0,361,0
2015-07-04,67854,322823,58,0,48,0,0,0,1.7966501767222287e-4,0,7.074011848969847e-4,0,0,0,0,20,0,400,0
2015-07-05,65220,311657,70,0,56,0,0,0,2.2460589686738947e-4,0,8.586323213738117e-4,0,0,0,0,21,0,441,0
2015-07-06,72872,366958,76,0,54,0,7,0,2.0710817041732295e-4,0,7.410253595345263e-4,0,1.907575253843764e-5,0,0,22,0,484,0
2015-07-07,73046,372688,90,0,83,0,1,0,2.4148885931395698e-4,0,0.0011362702954302768,0,2.683209547932855e-6,0,0,23,0,529,0
2015-07-08,74004,377516,83,2,71,1,0,0,2.1985823117430785e-4,5.29778870299537e-6,9.594075995892114e-4,1.3512783092805794e-5,0,0,0,24,0,576,0
2015-07-09,74386,382108,95,0,83,0,9,0,2.4862080877657627e-4,0,0.0011158013604710565,0,2.355355030514933e-5,0,0,25,0,625,0
2015-07-10,74135,385535,96,2,85,2,5,0,2.490046299298378e-4,5.18759645687162e-6,0.0011465569569029473,2.6977810750657584e-5,1.296899114217905e-5,0,0,26,0,676,0
2015-07-11,66986,329334,42,1,40,1,1,0,1.275301062143599e-4,3.0364311003419023e-6,5.971397008330099e-4,1.4928492520825248e-5,3.0364311003419023e-6,0,0,27,0,729,0
2015-07-12,66240,329762,69,1,56,1,8,0,2.0924181682546806e-4,3.032490098919827e-6,8.454106280193237e-4,1.5096618357487922e-5,2.4259920791358616e-5,0,0,28,0,784,0
2015-07-13,73283,381887,65,0,53,0,4,0,1.7020741737739175e-4,0,7.232236671533644e-4,0,1.0474302607839492e-5,0,0,29,0,841,0
2015-07-14,74881,391650,70,1,55,1,5,0,1.7873100983020553e-4,2.5533001404315077e-6,7.344987379976229e-4,1.335452250904769e-5,1.2766500702157539e-5,0,0,30,0,900,0
2015-07-15,75026,396257,145,0,117,0,7,0,3.6592413509414345e-4,0,0.0015594593874123637,0,1.7665303073510374e-5,0,0,31,0,961,0
2015-07-16,74921,385391,96,0,82,0,3,0,2.4909766963940517e-4,0,0.001094486192122369,0,7.784302176231412e-6,0,0,32,0,1024,0
2015-07-17,73605,376874,61,0,56,0,4,0,1.6185780924128488e-4,0,7.608178792201616e-4,0,1.061362683549409e-5,0,0,33,0,1089,0
2015-07-18,66378,330487,41,0,34,0,0,0,1.2405934272755056e-4,0,5.122179035222513e-4,0,0,0,0,34,0,1156,0
2015-07-19,65472,329376,49,0,42,0,2,0,1.4876615175361897e-4,0,6.414956011730205e-4,0,6.072087826678325e-6,0,0,35,0,1225,0
2015-07-20,73176,376020,102,0,71,0,2,0,2.712621669060156e-4,0,9.702634743631792e-4,0,5.318866017765012e-6,0,0,36,0,1296,0
2015-07-21,73809,379020,62,0,51,0,7,0,1.63579758324099e-4,0,6.909726456123237e-4,0,1.8468682391430533e-5,0,0,37,0,1369,0
2015-07-22,75514,402980,91,0,86,0,5,0,2.2581765844458782e-4,0,0.0011388616680350664,0,1.2407563650801529e-5,0,0,38,0,1444,0
2015-07-23,76065,414875,92,1,76,1,6,0,2.2175354022295872e-4,2.4103645676408555e-6,9.991454676921054e-4,1.3146650890685597e-5,1.4462187405845135e-5,0,0,39,0,1521,0
2015-07-24,73515,373341,82,2,74,1,8,0,2.1963834671252287e-4,5.357032846646899e-6,0.0010065972930694417,1.3602666122560023e-5,2.1428131386587596e-5,0,0,40,0,1600,0
2015-07-25,67304,338098,67,1,58,1,3,0,1.9816739525226415e-4,2.9577223171979724e-6,8.617615594912635e-4,1.4857957922263164e-5,8.873166951593917e-6,0,0,41,0,1681,0
2015-07-26,66247,342922,73,0,62,0,6,0,2.1287639754813048e-4,0,9.358914365933552e-4,0,1.7496690209435382e-5,0,0,42,0,1764,0
2015-07-27,73271,384423,72,1,61,1,7,0,1.872936843008873e-4,2.601301170845657e-6,8.325258287726386e-4,1.3647964406108829e-5,1.8209108195919598e-05,0,0,43,0,1849,0
2015-07-28,74902,398091,69,1,59,1,3,0,1.7332720408147885e-4,2.511988464948969e-6,7.876959226722918e-4,1.3350778350377827e-5,7.535965394846907e-6,0,0,44,0,1936,0
2015-07-29,76355,412661,235,2,167,2,12,0,5.694747019951001e-4,4.846593208468937e-6,0.002187152118394342,2.6193438543644817e-5,2.907955925081362e-5,0,0,45,0,2025,0
2015-07-30,75137,392540,95,0,86,0,2,0,2.420135527589545e-4,0,0.0011445759080080387,0,5.095022163346411e-6,0,0,46,0,2116,0
2015-07-31,75372,408683,94,2,83,2,3,0,2.3000712043319638e-4,4.893768519855243e-6,0.0011012046913973358,2.653505280475508e-5,7.340652779782863e-6,0,0,47,0,2209,0
2015-08-01,68004,344517,72,0,70,0,1,0,2.089882357038985e-4,0,0.0010293512146344332,0,2.902614384776368e-6,0,0,48,0,2304,0
2015-08-02,66832,342147,65,0,63,0,3,0,1.8997682282761503e-4,0,9.426621977495811e-4,0,8.768161053582232e-6,0,0,49,0,2401,0
2015-08-03,72247,370507,124,0,106,0,5,0,3.346765378251963e-4,0,0.0014671889490221047,0,1.349502168649985e-5,0,0,50,0,2500,0
2015-08-04,74365,396618,77,0,74,0,3,0,1.9414146609584033e-4,0,9.950917770456531e-4,0,7.563953224513259e-6,0,0,51,0,2601,0
2015-08-05,74949,390594,71,0,68,0,5,0,1.8177442561841708e-4,0,9.072836195279457e-4,0,1.2801015888620921e-05,0,0,52,0,2704,0
2015-08-06,75483,402169,92,0,85,0,3,0,2.2875955133289737e-4,0,0.001126081369314945,0,7.459550586942305e-6,0,0,53,0,2809,0
2015-08-07,76189,415617,89,2,77,2,10,0,2.1413946012795434e-4,4.812122699504592e-6,0.0010106445812387615,2.6250508603604193e-5,2.406061349752296e-5,0,0,54,0,2916,0
2015-08-08,68207,341972,76,0,69,0,5,0,2.2224041734411005e-4,0,0.0010116263726596977,0,1.4621080088428293e-5,0,0,55,0,3025,0
2015-08-09,66631,342516,61,0,56,0,1,0,1.7809387006738372e-4,0,8.404496405576984e-4,0,2.9195716404489135e-6,0,0,56,0,3136,0
2015-08-10,73452,392510,104,1,87,1,5,0,2.6496140225726734e-4,2.5477057909352627e-6,0.0011844469857866362,1.3614333169961335e-5,1.2738528954676313e-5,0,0,57,0,3249,0
