gpr_mean,true_y,gpr_lwr,gpr_upr,day
1.069065126467981e-06,2.6010711210876634e-06,1.1934047005606712e-07,2.018789782879895e-06,0
1.0744667913845474e-06,0.0,1.5292442746493566e-07,1.9960091553041593e-06,1
1.0799114936345885e-06,2.9390154298310068e-06,1.8565779096965525e-07,1.974165196299522e-06,2
1.0853972488129843e-06,0.0,2.1752741689474596e-07,1.9532670807312224e-06,3
1.0909219895035408e-06,3.227545161425671e-06,2.4852067065269643e-07,1.933323308354385e-06,4
1.096483566412093e-06,2.9624187556656258e-06,2.7862554585474803e-07,1.914341586969438e-06,5
1.1020797496181176e-06,0.0,3.078308004060654e-07,1.8963286988301697e-06,6
1.1077082299434055e-06,0.0,3.3612610988563594e-07,1.879290350001175e-06,7
1.1133666204389005e-06,0.0,3.635022379148843e-07,1.8632310029629168e-06,8
1.1190524579851968e-06,0.0,3.899512224624406e-07,1.848153693507953e-06,9
1.1247632050115627e-06,0.0,4.15466576121486e-07,1.8340598339016395e-06,10
1.1304962513263267e-06,0.0,4.400434973380729e-07,1.8209490053145804e-06,11
1.136248916061179e-06,2.5468557791977914e-06,4.636790884010919e-07,1.8088187437212664e-06,12
1.1420184497268794e-06,0.0,4.863725747974347e-07,1.797664324656324e-06,13
1.1478020363772221e-06,2.5946125465084295e-06,5.081255193447979e-07,1.7874785534096464e-06,14
1.1535967958825793e-06,0.0,5.28942023469435e-07,1.7782515682957236e-06,15
1.1593997863067809e-06,0.0,5.48828907189549e-07,1.7699706654240126e-06,16
1.1652080063884539e-06,0.0,5.67795858941504e-07,1.7626201538354036e-06,17
1.1710183981234285e-06,0.0,5.85855546447237e-07,1.7561812497996201e-06,18
1.1768278494430844e-06,0.0,6.030236804391459e-07,1.7506320184470228e-06,19
1.1826331969906269e-06,0.0,6.193190243256037e-07,1.74594736965565e-06,20
1.188431228987835e-06,5.29778870299537e-06,6.347633447052553e-07,1.7420991132704147e-06,21
1.1942186881912115e-06,0.0,6.493813000153662e-07,1.739056076367057e-06,22
1.1999922749334617e-06,5.187596456871619e-06,6.632002673162896e-07,1.7367842825506339e-06,23
1.2057486502487615e-06,3.0364311003419027e-06,6.762501101208379e-07,1.735247190376685e-06,24
1.211484439073469e-06,3.0324900989198274e-06,6.885628929846829e-07,1.7344059851622552e-06,25
1.217196233523565e-06,0.0,7.001725511187537e-07,1.734219915928376e-06,26
1.2228805962430136e-06,2.553300140431508e-06,7.111145252711474e-07,1.7346466672148796e-06,27
1.2285340638157727e-06,0.0,7.214253734726764e-07,1.735642754158869e-06,28
1.2341531502435784e-06,0.0,7.311423718346386e-07,1.7371639286525185e-06,29
1.239734350477824e-06,0.0,7.40303116404445e-07,1.7391655845512032e-06,30
1.245274144007427e-06,0.0,7.489451372538812e-07,1.7416031507609725e-06,31
1.2507689984928283e-06,0.0,7.571055345524091e-07,1.7444324624332474e-06,32
1.2562153734449707e-06,0.0,7.648206445986083e-07,1.7476101022913332e-06,33
