,2FE,2RE,GPR,FULLBAYES,,
1,-1240,-1284,-494,-1066,,
2,-1073,-1107,-476,-1104,,
3,-1297,-1338,-565,-509,,
4,-1209,-1252,-519,-529,,
5,-1252,-1298,-476,-525,,
6,-1144,-1186,-519,-489,,
7,-1217,-1265,-505,-691,,
8,-1162,-1201,-540,-492,,
9,-1163,-1199,-530,-956,,
10,-1272,-1302,-451,-506,,
11,-1155,-1190,-494,-847,,
12,-1242,-1285,-493,-518,,
13,-1199,-1237,-469,-979,,
14,-1112,-1157,-469,-735,,
15,-1190,-1229,-483,-687,,
16,-1167,-1208,-496,-601,,
17,-1096,-1131,-522,-544,,
18,-1137,-1174,-508,-500,,
19,-1126,-1162,-480,-570,,
20,-1359,-1392,-515,-485,,
21,-1147,-1190,-454,-525,,
22,-1246,-1288,-474,-690,,
23,-1229,-1264,-451,-803,,
24,-1146,-1190,-514,-701,,
25,-1014,-1050,-472,-704,,
