,RMSE_x1,COVERAGE_x1,LL_x1,RMSE_x2,COVERAGE_x2,LL_x2,MODEL
0,0.27239267757192354,0.947,-0.23289445814269905,0.14976931835608898,0.994,-0.7453124576289887,2FE
1,0.3537956838018953,0.945,-0.0921890932081092,0.17790660199224975,0.965,-0.27966771316611383,2FE
2,0.3761926164299278,0.99,-0.4692298706821998,0.16936520075451422,0.983,-0.47558601303302017,2FE
3,0.281863949415471,0.975,-0.40863538015242873,0.1741253433824769,0.977,-0.6983235271983947,2FE
4,0.3626135482932631,0.977,-0.8495873326229672,0.2008298932185104,0.988,-1.2485186242941657,2FE
5,0.2489775742728082,0.971,0.11276031469623571,0.1360172029538677,0.981,-0.09681952417923068,2FE
6,0.2802172922106845,0.979,-0.3674798790855457,0.1611936918709067,0.971,-0.5100348497173803,2FE
7,0.25369231913582063,0.944,0.21033672233810097,0.15433999023738884,0.993,-0.4730965749280956,2FE
8,0.28429482389435395,0.96,-0.5134912122229222,0.15480661357631717,0.99,-0.3749424643603315,2FE
9,0.2871033201708873,0.98,-0.4730822579346717,0.15108401890626655,0.942,-0.3375342113562112,2FE
10,0.3189808780604849,0.981,0.04338915910718,0.18357339642777035,0.978,-0.31622340433132323,2FE
11,0.29122024633219007,0.996,0.011983910734109093,0.19646948019053515,0.967,-0.2571230648956778,2FE
12,0.3148690017795828,0.967,-0.2662431625857723,0.14311511612886832,0.955,-0.10046127254247395,2FE
13,0.405977146485714,0.857,-0.24620104050714386,0.16351847831074762,0.978,-0.3448298588974831,2FE
14,0.28675520647791247,0.972,-0.5348820701757959,0.12350829079706391,0.989,-0.8719810297628569,2FE
15,0.32208097725907536,0.949,-0.7028388911464233,0.1524643730688081,0.976,-0.7091130941340946,2FE
16,0.3227840736954874,0.851,0.24309232814808168,0.17292113832128245,0.93,-0.04899021263858727,2FE
17,0.3536643963041057,0.953,0.1654466096586733,0.19216846040028446,0.966,-0.5179016864205637,2FE
18,0.33216690357811834,0.911,-0.19457434145597718,0.1691381064752741,0.914,0.21863461259160832,2FE
19,0.38390312887064365,0.94,-0.6212245153558646,0.18831482526849358,0.979,-0.5913929016638998,2FE
20,0.2804815956942473,0.968,-0.30795175843144096,0.17662476597547275,0.989,-0.74609845844063,2FE
21,0.3112373265076832,0.976,-0.7089849429791057,0.15564401690984148,0.986,-0.5904214786864921,2FE
22,0.24639451909608157,0.99,-0.7418772708599544,0.12089261758897578,0.986,-0.5458418619583766,2FE
23,0.3325408799744991,0.926,-0.16037772385132365,0.1493613477250748,0.953,-0.1294111392483248,2FE
24,0.320987232109465,0.959,-0.2780238036909264,0.18374609250137522,0.958,0.09728172646063604,2FE
0,0.312466607250852,0.768,1.0324349250559959,0.16121213998862574,0.965,1.1095909861058884,2RE
1,0.3493422503448619,0.852,0.8773918021340221,0.1692484009056636,0.891,0.9666403213872685,2RE
2,0.38344932311967983,0.954,0.25773363054634957,0.1719348904305915,0.948,0.4890043811076943,2RE
3,0.2980478936176232,0.904,0.7677142746591077,0.16978351094880473,0.924,0.8992569279621494,2RE
4,0.37816240845426946,0.864,0.9230377929501199,0.18347555339849378,0.885,1.1181171761263564,2RE
5,0.2670758780277011,0.918,0.9874619305162287,0.12787483983790235,0.961,1.0341894880186817,2RE
6,0.2930813222120498,0.97,0.5389126229279806,0.16707298422059222,0.881,0.6690125860534417,2RE
7,0.2828744969627493,0.804,1.1210082053935264,0.1503001528068471,0.984,0.8880320920271652,2RE
8,0.2842908310669544,0.847,0.8848097856543446,0.15092291189812018,0.945,1.288357834922345,2RE
9,0.31934351133936395,0.959,0.24019437629231932,0.15210224577249531,0.9,0.5965821955315642,2RE
10,0.3391976074502619,0.923,0.9963641027100198,0.18385368713110978,0.939,1.0191244765832697,2RE
11,0.3068942505185221,0.981,0.9447906104614148,0.19395798529710812,0.916,1.0394922247081109,2RE
12,0.30677883154338637,0.933,0.4031866484429394,0.1408896758704682,0.905,0.7363780482026034,2RE
13,0.43641054205107294,0.612,0.9213150711870357,0.15959516082733832,0.88,1.236019545568396,2RE
14,0.3045531389776461,0.869,1.037058140022386,0.13130586027411226,0.914,1.335739146609579,2RE
15,0.3064405698247463,0.74,0.8538276830886407,0.14236690667249782,0.869,1.11786566315517,2RE
16,0.32882601006557854,0.775,1.0473897475680702,0.16956355910056584,0.845,0.9182526289504604,2RE
17,0.3551381349547738,0.902,0.9755517043008934,0.191854195596366,0.84,0.6750982237025458,2RE
18,0.32513894815384015,0.624,1.1974053702221212,0.16116479167045955,0.794,1.5419811997817887,2RE
19,0.34569572378365737,0.927,0.6553557170515556,0.1579963944156673,0.922,0.9552734489620929,2RE
20,0.3183558088894597,0.88,0.9214012219459731,0.17841664599069718,0.929,0.9867762650096878,2RE
21,0.31654748639175845,0.888,1.0014847057366516,0.13845397325458794,0.965,1.0363673539055893,2RE
22,0.26406361174343135,0.955,0.4934491756737902,0.12102104678677178,0.953,0.7623488945961754,2RE
23,0.36600052205540656,0.813,0.6095828038125752,0.15989346189574924,0.817,1.3170458677507528,2RE
24,0.34649847079964874,0.904,1.1686665227405162,0.18353106934443048,0.827,1.56899871667903,2RE
0,0.13428506932159892,0.998,1.314628030735761,0.08283533318778968,0.996,1.599965884022101,GPR
1,0.20821236464962664,0.989,1.5160553522855125,0.08030115924434471,0.993,1.9661325018869125,GPR
2,0.16006461995992477,0.981,1.7633072659449223,0.0632584609512172,0.992,2.3408922222227972,GPR
3,0.08055003575465347,0.951,2.0493733607667313,0.03800263416232357,0.978,2.69259393571962,GPR
4,0.1372482956524461,0.997,1.4436118745552071,0.05930802897083036,0.996,2.188899733672035,GPR
5,0.13647240676595726,0.995,1.3234497126167013,0.09292555350164862,0.999,1.4281545879863708,GPR
6,0.10424686819995234,0.994,1.8894336861832222,0.04451938001943201,0.935,2.7457914976002846,GPR
7,0.13165193566762332,0.974,1.9921902261063664,0.06517661814654889,0.991,2.1738788606332604,GPR
8,0.20060742918712393,0.993,1.0953089606727833,0.05660963162295508,0.993,2.120697335409327,GPR
9,0.18035214850304512,0.997,0.8672855447169632,0.06895124481887394,0.99,1.987896193687674,GPR
10,0.113731586167038,0.991,1.9717078079013932,0.05228727995964119,0.996,2.0973331595553373,GPR
11,0.16109184077114702,0.991,1.6660948029808247,0.06107745504449684,0.993,2.339291083797571,GPR
12,0.11979329633260732,0.996,1.4722042030289528,0.05906666478929698,0.988,2.127658963336352,GPR
13,0.10323155407810505,0.994,1.3976623700991198,0.06718536834431066,0.996,1.9626337335390631,GPR
